target_index,variant,solver_status,success,pos_err_m,rot_err_rad,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
14,arm_cold,not_converged,false,0.440998866103951,0.609846449976345,6.283190000000000,2.323043301274056,1.185566912283283,6.077781624604029,-3.999373652788489,-0.921087222988961
14,arm_restarts,ok,true,0.000000179257917,0.000000003297237,-5.752973268862191,-3.484644706093320,0.797587490926286,-3.412826314043322,3.920495979147149,-4.048204916579800
14,k_cold,not_converged,false,,,,,,,,
14,k_restarts,not_converged,false,,,,,,,,
15,arm_cold,ok,true,0.000068097239495,0.000008188247116,-1.230815576080611,0.678255770685073,0.619228684081825,-4.815427606034195,-1.778684319618364,-0.744173499979634
15,arm_restarts,ok,true,0.000068097239495,0.000008188247116,-1.230815576080611,0.678255770685073,0.619228684081825,-4.815427606034195,-1.778684319618364,-0.744173499979634
15,k_cold,not_converged,false,,,,,,,,
15,k_restarts,ok,true,0.000083796442565,0.000322711679993,2.557317028936312,-4.809154216207773,1.559315214324878,-2.494507030235098,5.506284838226440,-4.207265974989897
16,arm_cold,not_converged,false,0.410100086252741,0.378389918607487,-3.560953910692324,-4.882604247641997,0.179590120702497,-3.953438314114247,-6.283190000000000,-4.282944576658821
16,arm_restarts,ok,true,0.000093614007206,0.000137007448419,-4.989072505496603,1.732603786635248,-1.158952733950144,-0.853893217893030,5.048568162645128,-0.485219723731885
16,k_cold,not_converged,false,,,,,,,,
16,k_restarts,ok,true,0.000074508247449,0.000227540524594,-4.989159981694040,1.732527505965056,-1.158874992393981,-0.853925893646912,5.048715693112550,-0.485158315414865
17,arm_cold,ok,true,0.000023876378307,0.000000179091273,-2.153120381287144,-1.554258971055898,0.446481816294126,0.015236842078328,0.941250105419492,-0.673430201671884
17,arm_restarts,ok,true,0.000023876378307,0.000000179091273,-2.153120381287144,-1.554258971055898,0.446481816294126,0.015236842078328,0.941250105419492,-0.673430201671884
17,k_cold,ok,true,0.000067141465951,0.000181205542459,-2.153136551871538,-1.554323682753767,0.446465925891010,0.015364363947070,0.941072703613925,-0.673488585567717
17,k_restarts,ok,true,0.000067141465951,0.000181205542459,-2.153136551871538,-1.554323682753767,0.446465925891010,0.015364363947070,0.941072703613925,-0.673488585567717
18,arm_cold,ok,true,0.000000025679611,0.000000085322757,-1.564471677450062,-0.330944695008897,2.043235719599096,1.876292881690870,-1.607042311071573,4.283343219329659
18,arm_restarts,ok,true,0.000000025679611,0.000000085322757,-1.564471677450062,-0.330944695008897,2.043235719599096,1.876292881690870,-1.607042311071573,4.283343219329659
18,k_cold,ok,true,0.000073868340321,0.000156118691929,-1.564458543069044,-0.331026954115042,2.043435974710229,-4.407026655353314,-1.607192536089646,-1.999766760450014
18,k_restarts,ok,true,0.000073868340321,0.000156118691929,-1.564458543069044,-0.331026954115042,2.043435974710229,-4.407026655353314,-1.607192536089646,-1.999766760450014
19,arm_cold,ok,true,0.000000059164342,0.000000001798981,-1.767956368620667,-1.574925272548811,1.416354128913943,-2.453585297325776,-2.129206218186154,2.395197735927062
19,arm_restarts,ok,true,0.000000059164342,0.000000001798981,-1.767956368620667,-1.574925272548811,1.416354128913943,-2.453585297325776,-2.129206218186154,2.395197735927062
19,k_cold,ok,true,0.000096822409287,0.000905214023610,-1.767960222192174,-1.575142239041027,1.416824149764987,-2.454492793416353,-2.128652940855319,2.394391297986314
19,k_restarts,ok,true,0.000096822409287,0.000905214023610,-1.767960222192174,-1.575142239041027,1.416824149764987,-2.454492793416353,-2.128652940855319,2.394391297986314
20,arm_cold,ok,true,0.000039711318828,0.000337584407807,0.921630102284054,-0.905530613523208,1.581360253724619,-0.853706698276261,-0.440707010622510,-0.216647262119678
